strike,lastPrice,impliedVolatility,openInterest,volume
100.0,120.36,5.87500265625,10,10.0
110.0,121.15,5.562503046874999,5,
115.0,138.8,5.265628417968749,1,1.0
120.0,103.1,4.984378769531249,35,35.0
125.0,113.1,4.70312912109375,0,1.0
130.0,92.87,4.437504453124999,3,3.0
135.0,91.94,4.17187978515625,2,1.0
140.0,99.5,3.93750015625,44,4.0
145.0,85.4,3.6875007812500002,6,71.0
150.0,89.47,3.4531263671875,84,20.0
155.0,83.1,3.2343769140624996,30,3.0
160.0,79.49,3.0156274609375,13,6.0
165.0,73.48,2.9140652148437503,8,2.0
170.0,68.4,2.7890655273437504,27,6.0
175.0,64.51,2.5742223144531247,81,24.0
180.0,57.91,2.3632853417968747,419,49.0
185.0,54.87,2.156254609375,217,5.0
190.0,48.25,1.8828130859374999,57,31.0
195.0,44.95,1.75390748046875,279,28.0
197.5,41.65,1.703126484375,46,3.0
200.0,38.75,2.2763714965820308,4157,244.0
202.5,36.34,1.4570339648437498,467,6.0
205.0,33.85,1.44140904296875,765,53.0
207.5,32.5,1.5957051464843748,1261,2.0
210.0,28.32,1.3281283593749997,751,146.0
212.5,27.53,1.2460975195312498,237,4.0
215.0,23.3,1.1796916015624999,799,56.0
217.5,20.45,1.0859420703125,359,24.0
220.0,18.23,1.2197304638671875,7281,3655.0
222.5,16.42,1.0673874755859378,5890,2487.0
225.0,13.85,1.09375453125,10303,1965.0
227.5,11.8,1.0131885278320314,4366,840.0
230.0,9.64,1.0219775463867187,13644,3841.0
232.5,8.15,1.007329182128906,6639,1282.0
235.0,6.4,1.0234423828125,9433,4460.0
237.5,5.0,1.0039112304687499,6920,7787.0
240.0,3.8,1.0004932788085936,25400,38364.0
242.5,2.8,0.9804689453125001,12448,9600.0
245.0,1.97,0.9580082324218748,14308,27094.0
247.5,1.4,0.94726615234375,5630,10910.0
250.0,0.93,0.9350592431640624,16390,43359.0
252.5,0.6,0.9248054394531251,8065,13230.0
255.0,0.37,0.9179695703125,17321,20524.0
257.5,0.24,0.9179695703125,4652,7919.0
260.0,0.14,0.92773509765625,18364,17703.0
262.5,0.1,0.945313046875,2959,3466.0
265.0,0.07,0.9570316796874999,8419,8275.0
270.0,0.04,1.01172369140625,9362,5731.0
275.0,0.02,1.0703171484375003,5255,3702.0
280.0,0.02,1.15625421875,12018,1206.0
285.0,0.01,1.2656286718749998,2058,3168.0
290.0,0.01,1.2500037499999999,3194,328.0
295.0,0.01,1.3125034374999998,578,27.0
300.0,0.01,1.4375028125,3164,30.0
305.0,0.01,1.5000025,697,1.0
310.0,0.01,1.625001875,762,4.0
315.0,0.01,1.6875015625,280,17.0
320.0,0.02,1.78125109375,237,5.0
325.0,0.01,1.875000625,20,1.0
330.0,0.01,1.9375003125,733,66.0
